TOKEN,BEGIN,ORT
0,94815,Il
1,100107,paese
2,123039,senza
3,143325,punta
4,226233,Giovannino
5,246519,Perdigiorno
6,287973,era
7,294588,un
8,299439,grande
9,313992,viaggiatore
10,378819,Viaggia
11,396459,e
12,398223,viaggia
13,429975,una
14,439236,volta
15,452907,capitò
16,470670,in
17,473193,un
18,480690,paese
19,511560,dove
20,519498,gli
21,528318,spigoli
22,550368,delle
23,560511,case
24,579915,erano
25,593586,rotondi
26,631071,e
27,632394,i
28,637245,tetti
29,651357,non
30,661500,finivano
31,681728,a
32,690067,punta
33,720245,ma
34,727209,con
35,736029,una
36,744408,gobba
37,758961,dolcissima
38,867888,Lungo
39,882882,la
40,888615,strada
41,932318,correva
42,959175,una
43,966231,siepe
44,982989,di
45,990045,rose
46,1029735,e
47,1035468,a
48,1040760,Giovannino
49,1065015,venne
50,1078245,lì
51,1087506,per
52,1095003,lì
53,1111320,l
54,1114848,idea
55,1134693,di
56,1136457,infilarsene
57,1175706,una
58,1189818,all'occhiello
59,1271751,Mentre
60,1286838,coglieva
61,1305801,la
62,1311093,rosa
63,1349901,faceva
64,1366218,molta
65,1379448,attenzione
66,1417374,a
67,1420461,non
68,1431552,pungersi
69,1459269,con
70,1465884,le
71,1472499,spine
72,1523655,ma
73,1529829,si
74,1536444,accorse
75,1558053,subito
76,1592010,che
77,1597743,le
78,1602153,spine
79,1620675,non
80,1629009,pungevano
81,1657719,mica
82,1685072,non
83,1689400,avevano
84,1709757,punta
85,1748124,e
86,1749888,parevano
87,1768851,di
88,1773702,gomma
89,1807659,e
90,1815156,facevano
91,1838088,il
92,1842498,solletico
93,1871163,alla
94,1880424,mano
95,1943487,Guarda
96,1962450,guarda
97,2000817,disse
98,2020221,Giovannino
99,2042712,ad
100,2048886,alta
101,2062998,voce
102,2123415,Di
103,2129148,dietro
104,2141937,la
105,2146788,siepe
106,2161782,si
107,2167515,affacciò
108,2187360,una
109,2193534,guardia
110,2208528,municipale
111,2247777,sorridendo
112,2310840,Non
113,2315691,non
114,2317455,lo
115,2320542,sapeva
116,2340828,che
117,2344356,è
118,2346561,vietato
119,2365965,cogliere
120,2381400,le
121,2387133,rose
122,2432556,Mi
123,2437407,dispiace
124,2463867,non
125,2470482,ci
126,2472687,ho
127,2477538,pensato
128,2537955,Allora
129,2554713,pagherà
130,2569266,soltanto
131,2594403,mezza
132,2609397,multa
133,2651733,disse
134,2667609,la
135,2674224,guardia
136,2715678,che
137,2720529,con
138,2729349,quel
139,2737287,sorriso
140,2772126,avrebbe
141,2786679,potuto
142,2801673,benissimo
143,2837394,essere
144,2853270,l’
145,2856798,omino
146,2870028,di
147,2876202,burro
148,2894283,che
149,2903985,portava
150,2923389,Pinocchio
151,2953818,al
152,2959992,Paese
153,2977191,dei
154,2983365,Balocchi
155,3045096,Giovannino
156,3074943,osservò
157,3094497,che
158,3101553,la
159,3106845,guardia
160,3144330,scriveva
161,3169467,la
162,3173436,multa
163,3203693,con
164,3210480,una
165,3218418,matita
166,3237381,senza
167,3254580,punta
168,3287655,e
169,3288978,gli
170,3298680,scappò
171,3314997,di
172,3319120,ridere
173,3434296,Scusi
174,3473757,mi
175,3478167,fa
176,3484782,vedere
177,3498012,la
178,3502863,sua
179,3511242,sciabola
180,3565926,Volentieri
181,3623256,disse
182,3638691,la
183,3643542,guardia
184,3709251,E
185,3714102,naturalmente
186,3746295,nemmeno
187,3761289,la
188,3766140,sciabola
189,3791277,aveva
190,3802743,la
191,3808917,punta
192,3873369,Ma
193,3878595,che
194,3885210,paese
195,3905937,è
196,3907260,questo
197,3950037,domandò
198,3973851,Giovannino
199,4030299,Il
200,4038237,Paese
201,4059405,senza
202,4079250,punta
203,4119381,rispose
204,4144518,la
205,4149810,guardia
206,4203171,con
207,4213755,tanta
208,4229631,gentilezza
209,4276778,che
210,4282110,le
211,4286520,sue
212,4294017,parole
213,4312098,si
214,4319154,dovrebbero
215,4340322,scrivere
216,4363695,tutte
217,4380453,con
218,4387950,la
219,4394565,lettera
220,4415733,maiuscola
221,4477914,E
222,4484088,per
223,4488939,i
224,4494231,chiodi
225,4505697,come
226,4518045,fate
227,4561263,li
228,4566784,abbiamo
229,4578903,aboliti
230,4597866,da
231,4602518,un
232,4605363,pezzo
233,4626090,facciamo
234,4643289,tutto
235,4656078,con
236,4661811,la
237,4667544,colla
238,4714731,E
239,4721346,adesso
240,4735899,per
241,4746042,favore
242,4761036,mi
243,4767651,dia
244,4774266,due
245,4780881,schiaffi
246,4842621,Giovannino
247,4863789,spalancò
248,4886721,la
249,4892895,bocca
250,4923346,come
251,4931262,se
252,4939641,dovesse
253,4956399,inghiottire
254,4985505,una
255,4992561,torta
256,5005791,intera
257,5071711,Per
258,5077122,carità
259,5105898,non
260,5110749,voglio
261,5120892,mica
262,5131035,finire
263,5145032,in
264,5151321,prigione
265,5171166,per
266,5178222,oltraggio
267,5195469,a
268,5199831,pubblico
269,5217030,ufficiale
270,5363335,i
271,5266130,due
272,5271714,schiaffi
273,5292882,semmai
274,5306994,dovrei
275,5321988,riceverli
276,5351976,non
277,5363001,darli
278,5410188,Ma
279,5415921,qui
280,5423418,usa
281,5433561,così
282,5461344,spiegò
283,5479866,gentilmente
284,5508090,la
285,5513382,guardia
286,5554395,per
287,5560128,una
288,5568507,multa
289,5580855,intera
290,5595408,quattro
291,5610843,schiaffi
292,5647887,per
293,5654061,mezza
294,5668614,multa
295,5684049,due
296,5690664,soli
297,5731236,Alla
298,5741379,guardia
299,5776218,Alla
300,5785479,guardia
301,5842368,Ma
