word,semantic_dissimilarity
Orso,0.6779495477676392
buco,0.37450113892555237
Orso,0.38055601716041565
si,0.3202265501022339
è,0.30885541439056396
perso,0.27117693424224854
nel,0.25991857051849365
bosco,0.2646557092666626
e,0.22836679220199585
non,0.20428121089935303
trova,0.25546252727508545
più,0.31986796855926514
la,0.23707443475723267
sua,0.18848967552185059
tana,0.3222106993198395
Si,0.3123992085456848
mette,0.34406501054763794
in,0.362811803817749
cammino,0.46098387241363525
e,0.3093249201774597
all',0.3744018077850342
improvviso,0.43513602018356323
BADABUM,0.4694572985172272
casca,0.46262234449386597
in,0.41310811042785645
un,0.32199472188949585
buco,0.32512015104293823
Ma,0.3754810094833374
è,0.3448484539985657
la,0.31469690799713135
tana,0.41095787286758423
di,0.264987587928772
Volpe,0.37778782844543457
Orso,0.41881126165390015
e,0.257293701171875
Volpe,0.2898573875427246
iniziano,0.4341656565666199
a,0.3941608667373657
camminare,0.500667929649353
alla,0.4061116576194763
ricerca,0.39760446548461914
della,0.24953097105026245
tana,0.41123390197753906
di,0.2704317569732666
Orso,0.413325697183609
attraversano,0.41436874866485596
i,0.29583561420440674
campi,0.31707823276519775
e,0.3046756386756897
all',0.4352726936340332
improvviso,0.3827008306980133
BADABUM,0.48021984100341797
SPATAPAM,0.3888753354549408
cascano,0.5468406677246094
in,0.5580810308456421
un,0.4376036524772644
buco,0.35066837072372437
Ma,0.4134308099746704
è,0.33045321702957153
la,0.3060339689254761
tana,0.39871299266815186
di,0.26520687341690063
Talpa,0.4248265326023102
Orso,0.4003995358943939
Volpe,0.33939725160598755
e,0.26714789867401123
Talpa,0.31188294291496277
iniziano,0.4610477685928345
a,0.3974682092666626
camminare,0.4275171756744385
alla,0.44136083126068115
ricerca,0.4263789653778076
della,0.23797935247421265
tana,0.4394191801548004
di,0.28325414657592773
Orso,0.43501877784729004
Attraversano,0.5521948933601379
il,0.28822261095046997
fiume,0.35590314865112305
e,0.33644354343414307
all',0.43119102716445923
improvviso,0.4413003921508789
BADABUM,0.4920286238193512
SPATAPAM,0.4060530662536621
BEDEBENG,0.41006651520729065
cascano,0.5606499314308167
in,0.5520300269126892
un,0.44270461797714233
buco,0.3694593608379364
ma,0.3846575617790222
è,0.29883861541748047
la,0.2834489345550537
tana,0.41217830777168274
di,0.2690519690513611
Rospo,0.3992021083831787
