word,semantic_dissimilarity
Il fatto è.,
" Il fatto è che la paperetta non si era ancora decisa a tuffarsi nello stagno. Così l’anatra, sul bordo dello specchio d’acqua, le spiegò, con pazienza, i vantaggi del nuoto. Ma non le riuscì affatto di convincerla e, vedendo che con le buone non otteneva nulla, decise senz’altro di spingerla in acqua. Senza alcun successo!",0.2017214298248291
" A quel punto, l’anatra indispettita, chiamò in aiuto il gatto. Il gatto spinse l’anatra, che spingeva la paperetta, che nemmeno si mosse.",0.09207677841186523
" Chiamarono allora il cane, che spinse il gatto, che spingeva l’anatra, che spingeva la paperetta che sembrava incollata a terra.",0.06436097621917725
" Infine, arrivò anche il tacchino che spinse il cane, che spingeva il gatto, che spingeva l’anatra, che spingeva la paperetta, che non si spostava di un millimetro. E proprio quando sembrò che la sua resistenza potesse venir meno, il tacchino incominciò ad urlare: “al lupo! Al lupo!”.",0.04580312967300415
" E tutti si tuffarono nello stagno. No, non tutti. Naturalmente la paperetta rimase al suo posto.",0.059700071811676025
" L’anatra, il gatto, il cane, il tacchino urlarono: “Buttati, c’è il lupo!”. Ma la paperetta non vedeva per niente il lupo: vedeva un animale grosso, brutto e peloso, le cui intenzioni, per lei, erano fin troppo evidenti: spingerla in acqua.",0.02889096736907959
" Il fatto è, al momento, non si trovava nello stato d’animo ideale per bagnarsi, così spiccò un gran salto e andò a beccare il naso del lupo. Ci mise tutto l’impegno possibile e il lupo, colto alla sprovvista, ululando e ululando, fuggì a zampe levate.",0.03503018617630005
" L’anatra, il gatto, il cane e il tacchino uscirono dallo stagno, mogi mogi, grondanti d’acqua e se ne andarono via.",0.053241729736328125
" Il fatto è che la giornata si era fatta bella e il sole scaldava l’aria e alla paperetta, nulla sembrò più opportuno che farsi un bel bagnetto nello stagno.",0.04634714126586914
