sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
0,il,il,DET,det,ragno,,,7.039560886
0,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
0,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
0,tesse,tessere,VERB,root,ROOT,,,2.660745246
0,e,e,CCONJ,cc,tace,,,2.741151583
0,tace,tacere,VERB,conj,tesse,,,2.829412487
0,,,PUNCT,punct,tesse,,,
1,splende,splendere,VERB,root,ROOT,,,3.270104476
1,il,il,DET,det,sole,,,7.039560886
1,sole,sole,NOUN,obj,Splende,,3.64 ± 2.22,4.889371768
1,e,e,CCONJ,cc,soffia,,,2.741151583
1,soffia,soffiare,VERB,conj,Splende,,4.40 ± 2.75,3.614169104
1,il,il,DET,det,vento,,,7.039560886
1,vento,vento,NOUN,obj,soffia,,4.64 ± 1.96,4.536100847
1,,,PUNCT,punct,Splende,,,
2,soffia,soffiare,VERB,root,ROOT,,4.40 ± 2.75,3.614169104
2,già,già,ADV,advmod,Soffia,,,6.015979163
2,di,di,ADP,case,mattino,,,7.232814475
2,buon,buono,ADJ,amod,mattino,,3.48 ± 1.50,5.376096942
2,mattino,mattino,NOUN,obl,Soffia,,,4.473771833
2,e,e,CCONJ,cc,porta,,,2.741151583
2,porta,portare,VERB,conj,Soffia,,4.52 ± 2.06,5.473918988
2,con,con,ADP,case,sé,,,6.620271703
2,sé,sé,PRON,obl,porta,,,4.255006666
2,sopra,sopra,ADP,case,campi,,,5.153505635
2,i,il,DET,det,campi,,,6.584780852
2,campi,campo,NOUN,obl,porta,,4.52 ± 1.56,4.200161601
2,il,il,DET,det,ragno,,,7.039560886
2,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
2,ragno,ragno,NOUN,obj,porta,,4.48 ± 0.96,3.818289087
2,,,PUNCT,punct,Soffia,,,
3,con,con,ADP,case,argenteo,,,6.620271703
3,l’,il,DET,det,argenteo,,,
3,argenteo,argenteo,NOUN,obl,rimane,,,2.421372151
3,filo,filo,NOUN,compound,argenteo,,,4.325578372
3,sottile,sottile,ADJ,amod,filo,,,3.863021088
3,il,il,DET,det,ragno,,,7.039560886
3,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
3,ragno,ragno,NOUN,nsubj,rimane,,4.48 ± 0.96,3.818289087
3,rimane,rimanere,VERB,root,ROOT,,,4.524571987
3,impigliato,impigliare,VERB,xcomp,rimane,,,2.834375907
3,fra,fra,ADP,case,pali,,,5.034249462
3,i,il,DET,det,pali,,,6.584780852
3,pali,palo,NOUN,obl,impigliato,,4.92 ± 3.03,3.199523402
3,di,di,ADP,case,recinto,,,7.232814475
3,un,uno,DET,det,recinto,,,7.065833912
3,recinto,recinto,NOUN,nmod,pali,,,3.691982492
3,…,…,PUNCT,punct,rimane,,,
3,e,e,CCONJ,cc,comincia,,,2.741151583
3,comincia,cominciare,VERB,conj,rimane,,,4.545415831
3,subito,subito,ADV,advmod,comincia,,,5.515761062
3,a,a,ADP,mark,tessere,,,7.004335738
3,tessere,tessere,VERB,xcomp,comincia,,,3.224346986
3,la,il,DET,det,tela,,,7.055331658
3,sua,suo,DET,det:poss,tela,,,6.022524285
3,tela,tela,NOUN,obj,tessere,,7.84 ± 2.10,3.550758712
3,,,PUNCT,punct,rimane,,,
4,arriva,arrivare,VERB,root,ROOT,,,4.940504965
4,il,il,DET,det,cavallo,,,7.039560886
4,cavallo,cavallo,NOUN,nsubj,Arriva,,3.92 ± 1.53,4.765822219
4,e,e,CCONJ,cc,dice,,,2.741151583
4,gli,gli,PRON,iobj,dice,,,6.227520191
4,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
4,,,PUNCT,punct,dice,,,
4,,,PUNCT,punct,Hiii,,,
4,,,PUNCT,punct,Hiii,,,
4,hiii,Hiii,INTJ,discourse,Arriva,,,1.367014489
4,,,PUNCT,punct,Hiii,,,
4,hiii,Hiii,INTJ,discourse,Arriva,,,1.367014489
4,,,PUNCT,punct,Hiii,,,
5,vuoi,volere,AUX,aux,venire,,,5.995743909
5,venire,venire,VERB,root,ROOT,,4.80 ± 2.10,5.41855288
5,a,a,ADP,mark,cavalcare,,,7.004335738
5,cavalcare,cavalcare,VERB,xcomp,venire,,,3.648805127
5,,,PUNCT,punct,venire,,,
6,,,PUNCT,root,ROOT,,,
6,,,PUNCT,punct,>,,,
6,,,PUNCT,punct,>,,,
7,il,il,DET,det,ragno,,,7.039560886
7,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
7,ragno,ragno,NOUN,nsubj,tesse,,4.48 ± 0.96,3.818289087
7,tesse,tessere,VERB,root,ROOT,,,2.660745246
7,e,e,CCONJ,cc,tace,,,2.741151583
7,tace,tacere,VERB,conj,tesse,,,2.829412487
7,,,PUNCT,punct,tesse,,,
8,arriva,arrivare,VERB,root,ROOT,,,4.940504965
8,la,il,DET,det,mucca,,,7.055331658
8,mucca,mucca,NOUN,nsubj,Arriva,,4.00 ± 1.63,3.952851068
8,e,e,CCONJ,cc,dice,,,2.741151583
8,gli,gli,PRON,iobj,dice,,,6.227520191
8,dice,dire,VERB,conj,Arriva,,4.08 ± 1.73,5.609257672
8,,,PUNCT,punct,Arriva,,,
9,,,PUNCT,punct,Muuu!,,,
9,,,PUNCT,punct,Muuu!,,,
