token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,lupetto,lupetto,NOUN,nsubj,mangia,,,2.433961279
2,0,mangia,mangiare,VERB,root,ROOT,,3.24 ± 1.74,4.605980088
3,0,solo,solo,ADV,advmod,pastasciutta,,4.60 ± 2.14,6.359323473
4,0,pastasciutta,pastasciutta,NOUN,obj,mangia,,,2.145165739
5,0,,,PUNCT,punct,mangia,,,
6,1,è,essere,AUX,cop,ora,,,7.249521761
7,1,l’,il,DET,det,ora,,,
8,1,ora,ora,NOUN,root,ROOT,,,6.195882677
9,1,di,di,ADP,case,cena,,,7.232814475
10,1,cena,cena,NOUN,nmod,ora,,4.04 ± 1.88,5.095855057
11,1,,,PUNCT,punct,tira,,,
12,1,la,il,DET,det,mamma,,,7.055331658
13,1,mamma,mamma,NOUN,nsubj,tira,,1.88 ± 1.27,5.66327005
14,1,tira,tirare,VERB,conj,ora,,4.44 ± 1.92,4.482069992
15,1,fuori,fuori,ADV,advmod,tira,,,5.872607584
16,1,una,uno,DET,det,teglia,,,6.801817508
17,1,teglia,teglia,NOUN,obj,tira,,7.44 ± 2.92,2.668044485
18,1,da,da,ADP,case,forno,,,6.577812618
19,1,il,il,DET,det,forno,,,7.039560886
20,1,forno,forno,NOUN,nmod,teglia,,4.92 ± 1.98,4.012764157
21,1,,,PUNCT,punct,ora,,,
22,2,“,“,PUNCT,punct,cos’,,,
23,2,che,che,DET,det,cos’,,,7.250456545
24,2,cos’,cosa,PRON,root,ROOT,,,
25,2,è,essere,AUX,cop,cos’,,,7.249521761
26,2,,,PUNCT,punct,cos’,,,
27,2,”,”,PUNCT,punct,cos’,,,
28,2,,,PUNCT,punct,cos’,,,
29,2,chiede,chiedere,VERB,parataxis,cos’,,,4.493578784
30,2,lupetto,Lupetto,PROPN,nsubj,chiede,,,2.433961279
31,2,,,PUNCT,punct,cos’,,,
32,3,“,“,PUNCT,punct,specialità,,,
33,3,la,il,DET,det,specialità,,,7.055331658
34,3,mia,mio,DET,det:poss,specialità,,,6.242274517
35,3,specialità,specialità,NOUN,nsubj,soufflé,,,3.863944137
36,3,”,”,PUNCT,punct,specialità,,,
37,3,,,PUNCT,punct,dice,,,
38,3,dice,dire,VERB,parataxis,soufflé,,4.08 ± 1.73,5.609257672
39,3,la,il,DET,det,mamma,,,7.055331658
40,3,mamma,mamma,NOUN,nsubj,dice,,1.88 ± 1.27,5.66327005
41,3,,,PUNCT,punct,dice,,,
42,3,“,“,PUNCT,punct,soufflé,,,
43,3,un,uno,DET,det,soufflé,,,7.065833912
44,3,soufflé,soufflé,NOUN,root,ROOT,,,2.561991092
45,3,di,di,ADP,case,prosciutto,,,7.232814475
46,3,prosciutto,prosciutto,NOUN,nmod,soufflé,,,3.750231241
47,3,e,e,CCONJ,cc,funghi,,,2.741151583
48,3,funghi,fungo,NOUN,conj,prosciutto,,4.60 ± 1.68,3.808447765
49,3,”,”,PUNCT,punct,soufflé,,,
50,3,,,PUNCT,punct,specialità,,,
51,4,“,“,PUNCT,punct,piace,,,
52,4,bleh,Bleh,PROPN,nsubj,piace,,,1.734991274
53,4,,,PUNCT,punct,Bleh,,,
54,4,non,non,ADV,advmod,piace,,,7.259198169
55,4,mi,mi,PRON,iobj,piace,,,6.769601972
56,4,piace,piacere,VERB,root,ROOT,,7.64 ± 3.16,5.587732603
57,4,”,”,PUNCT,punct,piace,,,
58,4,,,PUNCT,punct,fa,,,
59,4,fa,fare,VERB,parataxis,piace,,4.40 ± 2.22,6.003549189
60,4,lupetto,Lupetto,PROPN,nsubj,fa,,,2.433961279
61,4,,,PUNCT,punct,allontana,,,
62,4,e,e,CCONJ,cc,allontana,,,2.741151583
63,4,allontana,allontanare,VERB,conj,piace,,,3.48758842
64,4,il,il,DET,det,piatto,,,7.039560886
65,4,suo,suo,DET,det:poss,piatto,,,6.051850878
66,4,piatto,piatto,NOUN,obj,allontana,,3.36 ± 1.50,4.365419149
67,4,,,PUNCT,punct,piace,,,
68,5,la,il,DET,det,mamma,,,7.055331658
69,5,mamma,mamma,NOUN,nsubj,aggrotta,,1.88 ± 1.27,5.66327005
70,5,aggrotta,aggrottare,VERB,root,ROOT,,,1.889893234
71,5,le,il,DET,det,sopracciglia,,,6.624997683
72,5,sopracciglia,sopracciglia,NOUN,obj,aggrotta,,,3.538253245
73,5,,,PUNCT,punct,aggrotta,,,
74,5,“,“,PUNCT,punct,assaggiar,,,
75,5,prima,prima,ADV,mark,dire,,,6.042129583
76,5,di,di,ADP,fixed,prima,,,7.232814475
77,5,dire,dire,VERB,advcl,assaggiar,,4.08 ± 1.73,5.98002779
78,5,che,che,SCONJ,mark,piace,,,7.250456545
79,5,non,non,ADV,advmod,piace,,,7.259198169
80,5,ti,ti,PRON,iobj,piace,,,6.615643201
81,5,piace,piacere,VERB,ccomp,dire,,7.64 ± 3.16,5.587732603
82,5,,,PUNCT,punct,dire,,,
83,5,dovresti,dovere,AUX,aux,assaggiar,,,5.301091908
84,5,assaggiar,assaggiare,VERB,conj,aggrotta,,,1.844135744
85,5,lo,lo,PRON,obj,assaggiar,,,6.655915487
86,5,,,PUNCT,punct,scopri,,,
87,5,magari,magari,ADV,advmod,scopri,,,5.253072584
88,5,scopri,scoprire,VERB,conj,aggrotta,,,4.011453079
89,5,che,che,SCONJ,mark,vai,,,7.250456545
90,5,ne,ne,PRON,iobj,vai,,,6.201935117
91,5,vai,andare,VERB,ccomp,scopri,,4.20 ± 1.44,5.679544443
92,5,pazzo,pazzo,ADJ,xcomp,vai,,5.48 ± 2.08,4.934354595
93,5,”,”,PUNCT,punct,aggrotta,,,
94,5,,,PUNCT,punct,aggrotta,,,
95,6,“,“,PUNCT,punct,ostina,,,
96,6,no,No,INTJ,discourse,ostina,,,6.605764599
97,6,”,”,PUNCT,punct,No!,,,
98,6,,,PUNCT,punct,No!,,,
99,6,si,si,PRON,expl,ostina,,,6.553884221
100,6,ostina,ostinare,VERB,root,ROOT,,,2.446195735
101,6,lupetto,lupetto,NOUN,nsubj,ostina,,,2.433961279
102,6,,,PUNCT,punct,piacciono,,,
103,6,“,“,PUNCT,punct,piacciono,,,
104,6,non,non,ADV,advmod,piacciono,,,7.259198169
105,6,mi,mi,PRON,iobj,piacciono,,,6.769601972
106,6,piacciono,piacere,VERB,parataxis,ostina,,7.64 ± 3.16,4.914296797
107,6,i,il,DET,det,funghi,,,6.584780852
108,6,funghi,fungo,NOUN,nsubj,piacciono,,4.60 ± 1.68,3.808447765
109,6,,,PUNCT,punct,preferisco,,,
110,6,preferisco,preferire,VERB,conj,piacciono,,,4.504157522
111,6,la,il,DET,det,pastasciutta,,,7.055331658
112,6,pastasciutta,pastasciutta,NOUN,obj,preferisco,,,2.145165739
113,6,”,”,PUNCT,punct,piacciono,,,
114,6,,,PUNCT,punct,ostina,,,
115,7,e,e,CCONJ,cc,tappa,,,2.741151583
116,7,si,si,PRON,expl,tappa,,,6.553884221
117,7,tappa,tappa,VERB,root,ROOT,,,3.385437572
118,7,la,il,DET,det,bocca,,,7.055331658
119,7,bocca,bocca,NOUN,nsubj,tappa,,2.44 ± 1.08,4.963684877
120,7,,,PUNCT,punct,tappa,,,
121,8,il,il,DET,det,giorno,,,7.039560886
122,8,giorno,giorno,NOUN,obl,rifiuta,,3.80 ± 1.76,5.731502947
123,8,dopo,dopo,ADP,advmod,giorno,,,5.792396528
124,8,lupetto,Lupetto,PROPN,nsubj,rifiuta,,,2.433961279
125,8,rifiuta,rifiutare,VERB,root,ROOT,,,3.92331699
126,8,i,il,DET,det,pomodori,,,6.584780852
127,8,pomodori,pomodoro,NOUN,obj,rifiuta,,4.40 ± 1.89,3.601700463
128,8,ripieni,ripieno,ADJ,amod,pomodori,,,2.872164467
129,8,e,e,CCONJ,cc,mangia,,,2.741151583
130,8,mangia,mangiare,VERB,conj,rifiuta,,3.24 ± 1.74,4.605980088
131,8,solo,solo,ADV,advmod,po’,,4.60 ± 2.14,6.359323473
132,8,un,uno,DET,det,po’,,,7.065833912
133,8,po’,poco,PRON,obj,mangia,,,
134,8,di,di,ADP,case,riso,,,7.232814475
135,8,riso,riso,NOUN,nmod,po’,,5.68 ± 1.68,4.238781957
136,8,,,PUNCT,punct,cerca,,,
137,8,il,il,DET,det,papà,,,7.039560886
