,TOKEN,Millisecondi,correzioni,ORT
0,0,"2,006",88465,Il
1,1,"2,37",104782,piccolo
2,2,"2,949",130051,ragno
3,3,"3,949",174283,tesse
4,4,"4,764",210092,e
5,5,"5,029",221779,tace
6,6,"7,126",314257,Splende
7,7,"7,9",348390,il
8,8,"8,187",361047,sole
9,9,"8,712",384199,e
10,10,"8,8",388080,soffia
11,11,"9,411",415025,il
12,12,"9,589",422875,vento
13,13,"10,716",472576,Soffia
14,14,"11,289",497845,giÃ 
15,15,"11,521",508076,di
16,16,"11,691",515573,buon
17,17,"11,991",528803,mattino
18,18,"13,128",578945,e
19,19,"13,342",584501,porta
20,20,"13,787",608007,con
21,21,"13,974",616253,sÃ©
22,22,"14,44",636804,sopra
23,23,"14,873",655899,i
24,24,"14,957",659604,campi
25,25,"15,693","692061,3",il
26,26,"16,023","706614,3",piccolo
27,27,"16,617","732809,7",ragno
28,28,"18,329","808308,9",Con
29,29,"18,452","813733,2",lâ€™
30,30,"18,576","819201,6",argenteo
31,31,"19,391","855143,1",filo
32,32,"19,827","874370,7",sottile
33,33,"20,966","924600,6",il
34,34,"21,251","937169,1",piccolo
35,35,"21,696","956793,6",ragno
36,36,"22,444","989780,4",rimane
37,37,"23,038","1015975,8",impigliato
38,38,"25,197","1111187,7",fra
39,39,"24,386","1075422,6",i
40,40,"24,555","1082875,5",pali
41,41,"24,979","1101573,9",di
42,42,"25,047","1104572,7",un
43,43,"25,156","1109379,6",recinto
44,44,"26,888","1185760,8",E
45,45,"27,094","1194845,4",comincia
46,46,"27,8",1225980,subito
47,47,"28,747","1267742,7",a
48,48,"29,004","1279076,4",tessere
49,49,"29,517","1301699,7",la
50,50,"29,651","1307609,1",sua
51,51,"29,978","1322029,8",tela
52,52,"31,826","1403526,6",Arriva
53,53,"32,29",1423989,il
54,54,"32,482","1432456,2",cavallo
55,55,"33,619","1482597,9",e
56,56,"33,701","1486214,1",gli
57,57,"33,878","1494019,8",dice
58,58,"34,554","1523831,4",Hiii
59,59,"35,419","1561977,9",Hiii
60,60,"36,714","1619087,4",Vuoi
61,61,"36,901","1627334,1",venire
62,62,"37,378","1648369,8",a
63,63,"37,515","1654411,5",cavalcare
64,64,"38,232","1686031,2",Il
65,65,"39,503","1742082,3",piccolo
66,66,"39,968","1762588,8",ragno
67,67,"40,788","1798750,8",tesse
68,68,"41,268","1819918,8",e
69,69,"41,456","1828209,6",tace
70,70,"43,36",1912176,Arriva
