TOKEN,BEGIN,ORT
0,89523,La
1,103194,fata
2,119070,gattina
3,223587,C’era
4,237258,una
5,247842,volta
6,286209,una
7,298557,bambina
8,329427,che
9,334719,si
10,345303,chiamava
11,364707,Lorenza
12,407043,e
13,413658,voleva
14,432621,viaggiare
15,496566,però
16,508914,aveva
17,526113,paura
18,558306,di
19,565803,non
20,574623,tornare
21,597114,a
22,604805,casa
23,682227,È
24,692370,facile
25,715302,partire
26,763812,diceva
27,816291,Ma
28,820701,se
29,829962,poi
30,837900,dimentico
31,863478,di
32,869211,tornare
33,930510,O
34,934479,se
35,945504,dimentico
36,972846,dov’è
37,985635,casa
38,1000629,mia
39,1060605,I
40,1063692,genitori
41,1084419,di
42,1089270,Lorenza
43,1124109,non
44,1132929,potevano
45,1153215,mai
46,1171296,fare
47,1183203,viaggi
48,1218924,più
49,1225098,lunghi
50,1242738,di
51,1248912,cento
52,1263465,passi
53,1311093,perché
54,1323882,appena
55,1339317,Lorenza
56,1365777,non
57,1371069,vedeva
58,1387827,più
59,1394883,la
60,1401498,casa
61,1437219,voleva
62,1456182,tornare
63,1477927,indietro
64,1528506,Era
65,1539972,una
66,1548351,vita
67,1559376,impossibile
68,1651986,Un
69,1661688,giorno
70,1688148,il
71,1696968,papà
72,1708434,e
73,1710639,la
74,1716813,mamma
75,1730043,di
76,1738863,Lorenza
77,1760031,dissero
78,1807218,Basta
79,1839411,abbiamo
80,1855728,deciso
81,1901592,Noi
82,1911735,andremo
83,1927178,a
84,1928938,fare
85,1942164,un
86,1947835,viaggio
87,1993761,se
88,2004345,tu
89,2012724,verrai
90,2045799,bene
91,2085048,se
92,2095191,no
93,2113051,resterai
94,2141496,qui
95,2152080,da
96,2157813,sola
97,2244690,Quella
98,2255715,notte
99,2269386,Lorenza
100,2288790,non
101,2298051,dormì
102,2350971,Voleva
103,2368611,partire
104,2414034,ma
105,2423736,aveva
106,2437848,paura
107,2462544,di
108,2469714,non
109,2477979,tornare
110,2529135,ma
111,2539308,anche
112,2549597,rimanere
113,2569707,sola
114,2587232,non
115,2591757,le
116,2598813,piaceva
117,2654820,Che
118,2666286,fare
119,2751032,Stava
120,2763747,lì
121,2771244,a
122,2776977,girarsi
123,2799468,nel
124,2808288,letto
125,2849742,quando
126,2862531,sentì
127,2880171,grattare
128,2902221,sul
129,2912364,cuscino
130,2967048,aprì
131,2982483,gli
132,2987775,occhi
133,3017763,e
134,3023055,vide
135,3042018,una
136,3054807,fata
137,3080826,dalla
138,3093174,forma
139,3110814,di
140,3116106,gatto
141,3185343,Passavo
142,3204306,sopra
143,3218418,i
144,3222387,tetti
145,3258108,disse
146,3273543,la
147,3280599,fata
148,3327345,Ti
149,3331755,ho
150,3336606,sentito
151,3363507,sospirare
152,3438036,Come
153,3452589,mai
154,3460968,non
155,3471552,dormi
156,3532851,Lorenza
157,3558675,a
158,3560634,bassa
159,3577833,voce
160,3605616,raccontò
161,3634281,il
162,3643542,suo
163,3650598,grave
164,3667797,problema
165,3744972,La
166,3752028,fata-gattina
167,3785985,disse
168,3828762,Se
169,3837141,mi
170,3843315,gratti
171,3861396,un
172,3867129,po
173,3874626,qui
174,3888738,e
175,3891384,un
176,3899763,po
177,3906819,qui
178,3922254,posso
179,3935484,aiutarti
180,4010895,Lorenza
181,4033827,la
182,4038678,grattò
183,4069548,pazientemente
184,4154220,poi
185,4161717,la
186,4168773,fata-gattina
187,4196556,si
188,4203612,alzò
189,4254327,e
190,4258737,sotto
191,4273290,di
192,4280346,lei
193,4303278,Lorenza
194,4325328,vide
195,4338558,un
196,4346496,gomitolo
197,4369428,strano
198,4424994,era
199,4433373,piccolissimo
200,4487616,e
201,4498641,fatto
202,4513635,di
203,4516858,un
204,4527747,filo
205,4540977,così
206,4556853,sottile
207,4606245,che
208,4613878,a
209,4617711,tenerlo
210,4642407,fra
211,4649022,le
212,4655637,dita
213,4679892,non
214,4686948,si
215,4694886,vedeva
216,4709880,nemmeno
217,4792788,Cos’è
218,4847913,disse
219,4864671,Lorenza
220,4887603,stupita
221,4961691,È
222,4967865,il
223,4978890,filo
224,4991679,del
225,4998294,Buon
226,5007555,Ritorno
227,5052096,rispose
228,5081202,la
229,5088699,fata-gattina
230,5180868,Basta
231,5197185,che
232,5209515,tu
233,5232465,quando
234,5248782,partirai
235,5302143,ne
236,5308758,leghi
237,5323311,un
238,5331690,capo
239,5349771,al
240,5356827,pomo
241,5373144,del
242,5379759,lettino
