,word,surprisal_bits
0,pirati,12.732370953408209
1,smemorati,26.463974313372248
2,C',17.13150279707713
3,era,2.6403739663303214
4,una,2.148440811195124
5,nave,5.889362201325761
6,di,4.135446667504855
7,pirati,2.1870706943186735
8,che,1.680017856415523
9,si,3.2132949556353716
10,chiamava,4.083001590020147
11,Tonno,15.987514103512726
12,Feroce,18.399495109497234
13,e,2.796891421279594
14,navigava,12.18499867481943
15,i,10.42919993097158
16,mari,4.7141861738538955
17,facendo,8.245428207861755
18,abbordaggi,22.093694101854965
19,spara,13.475763897970888
20,qua,21.032981514625806
21,assalta,18.913784805366046
22,di,7.321608952209506
23,là,6.938326094730864
24,ruba,10.339525425089297
25,a,4.699970087933576
26,me,8.521899090238914
27,rapina,10.268330799007524
28,a,2.810962181859934
29,te,6.91028440949901
30,i,8.100177852318458
31,pirati,2.1199104372608417
32,di,5.82125156813926
33,quella,6.275590519674404
34,nave,2.795126492320777
35,agli,13.112368684281394
36,ordini,5.951456881385079
37,di,0.99294269466968
38,capitan,13.68715224569529
39,Gigi,15.222679737901677
40,Trinciasquali,50.54991440555162
41,avevano,12.985960060036023
42,accumulato,11.186832938254616
43,un,3.7511318281297106
44,gran,5.956185716353203
45,tesoro,7.635143643691459
46,di,3.7550203558657187
47,dobloni,21.9794644344049
48,zecchini,13.280035344529475
49,fiorini,13.814093500210381
50,talleri,17.033857411275307
51,corone,12.032838228347117
52,e,5.315600560823293
53,altre,6.612734989466802
54,preziosissime,8.793565443783738
55,monete,5.04159866138192
56,Quando,6.566722751054967
57,ne,7.610225421373248
58,ebbero,5.914552156232334
59,tante,10.625410121826732
60,che,7.299260150695186
61,la,6.285628803039964
62,nave,2.965523678120944
63,quasi,13.474386660902779
64,affondava,10.427012311652604
65,il,4.893600195060486
66,capitano,9.349569897082453
67,disse,8.192697123228662
68,Ciurma,43.532721538683994
69,ascoltate,27.030346756901597
70,Noi,10.077474084108427
71,dobbiamo,11.732626172914253
72,mettere,8.10210543386933
73,al,7.6239867851646865
74,riparo,9.858669500513521
75,il,5.704491514572594
76,nostro,7.861607646625191
77,tesoro,11.60843354512525
78,troviamo,16.144081605413398
79,un',2.6816451590058223
80,isola,13.922117867009124
81,e,4.968421247318351
82,sotterriamolo,34.2073024773316
83,per,10.141790780016894
84,bene,15.933906423308184
85,Bella,27.027913374374542
86,idea,24.848173956496847
87,capitano,18.5765715425133
88,–,7.329712086787558
89,gridarono,23.717385103368816
90,i,1.105300938278838
91,pirati,1.702721227036886
92,e,4.5283613273537435
93,trovata,16.053855379187148
94,in,7.775345276536027
95,mezzo,7.18190606905244
96,al,7.008558563872384
97,mare,6.343006342951418
98,un',9.950336941354003
99,isola,10.445488751800097
100,di,7.182344968777442
101,terra,9.823444013963801
102,molle,21.80000367153848
103,vi,11.583592886982577
104,seppellirono,12.523484953253861
105,il,4.595075805380539
106,tesoro,5.6022701863792665
107,Poi,7.1203603576146755
108,tornarono,15.742365217458655
109,in,9.985627093380447
110,giro,7.3602603331644145
111,per,8.701055653417164
112,onde,19.340868978288356
113,e,7.727049796451336
114,orizzonti,24.118957025896837
115,a,7.5207903153409665
116,sparare,17.81078611284298
117,e,10.299179671058088
118,abbordare,54.89696637689495
119,assalire,15.139985663852617
120,e,7.756731250267843
121,rapinare,23.77783700514709
122,Ma,5.953526176640261
123,le,7.149362823925576
124,cose,10.765701873580353
125,cominciarono,16.34202675725046
126,ad,8.897704056066717
127,andar,16.261889721254423
128,male,11.524875000281625
129,perché,10.016694039432304
130,le,7.7197838734176845
131,navi,1.0921758243042663
132,si,13.380712526492031
133,erano,10.308243156758559
134,fatte,17.983250315128206
135,veloci,17.690016025797473
136,mentre,12.16295428259714
137,la,7.247812572585482
138,vecchia,8.275921419790334
139,Tonno,16.18909154018878
140,Feroce,30.528915834586254
141,era,9.199306591231807
142,una,4.284518477550324
143,nave,0.30245681598758856
144,antica,23.83151003875896
145,quelle,13.119169566227113
146,scappavano,17.55100700664531
147,e,8.637389051928958
148,i,9.47615119190929
149,pirati,0.1875715238001467
150,cominciavano,20.747348256523928
151,a,9.068921728098488
152,sentire,16.777814284202332
153,mal,15.120118915955548
154,di,9.349992974403575
155,schiena,22.86918386757853
156,e,7.5993368557818215
157,reumatismi,70.62140721851536
158,Insomma,11.297315037905268
159,la,8.261397828890273
160,pirateria,19.764211840623794
161,non,14.427874987620672
162,rendeva,15.121636490866761
163,come,13.579450174384265
164,una,8.117956730834052
165,volta,12.428822606531257
166,Dopo,7.729479567342726
167,tre,8.823956519515537
168,anni,10.850016024200544
169,di,5.276098209711916
170,affari,17.851933993957815
171,magri,31.31894879051401
172,e,7.046063852441942
173,stenti,38.77596759494975
174,disse,13.910559428992586
175,Gigi,16.11792785973139
176,Trinciasquali,22.19375923132141
177,Bella,38.612314063868226
178,ciurma,47.91650135102365
179,sapete,19.23984224158792
180,cosa,14.008784912275766
181,faremo,31.350940315296903
182,Torneremo,39.746046400065765
183,sull',19.22367724826802
184,isola,12.224967098914647
185,dove,13.424089302762045
186,abbiamo,12.511520464198638
187,sepolto,13.728736618778012
188,il,7.506956718836165
189,tesoro,5.830753953564733
190,lo,9.665748305873468
191,tireremo,47.0348720193678
192,fuori,16.451080483210273
193,lo,9.149089720971677
194,divideremo,32.29208235147466
195,fra,14.507026906992564
196,noi,13.543759818729262
197,e,4.394629337869332
198,vivremo,34.731815165933
199,da,15.738626314628897
200,gran,13.302317330783936
201,signori,6.191099570889127
202,nei,16.04654818031729
203,porti,8.590703329456344
204,di,7.942273013324676
205,tutto,8.674036491036013
206,il,2.8591792378558316
207,mondo,18.07386040663118
208,Giusto,58.238989744761845
209,Trinciasquali,41.661976254487406
210,–,11.193478448655037
211,gridarono,29.620296097929547
212,i,0.24461963094387265
213,pirati,2.0179941847923133
