text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_37,368,22,192,0.522,0.421,20.05,5.04,16.48,60.55,163 (44.3%),203 (55.2%),58 (15.8%),17 (4.6%),101 (27.4%),"['il (11.4%)', 'e (4.3%)', 'di (3.3%)', 'albero (2.7%)', 'a (2.7%)', 'uno (2.4%)', 'in (2.2%)', 'essere (1.9%)', 'foresta (1.6%)', 'che (1.6%)', 'quello (1.6%)', 'da (1.6%)', 'boscaiolo (1.6%)', 'per (1.6%)', 'si (1.4%)', 'fare (1.4%)', 'con (1.1%)', 'Re (1.1%)', 'guardare (1.1%)', 'come (1.1%)']","['gli alberi (1.4%)', 'la torre (0.8%)', 'i boscaioli (0.8%)', 'la foresta (0.8%)', 'il re (0.5%)', 'c’ era (0.5%)', 'il cielo (0.5%)', 'i rami (0.5%)', 'la rugiada (0.5%)', 'mille boscaioli (0.5%)']"
02_37,380,38,181,0.476,0.405,12.13,5.4,10.96,77.26,172 (45.3%),207 (54.5%),75 (19.7%),19 (5.0%),78 (20.5%),"['il (10.0%)', 'di (4.5%)', 'e (3.4%)', 'uno (3.2%)', 'Lorenza (2.9%)', 'essere (2.4%)', 'a (2.4%)', 'fata (2.1%)', 'non (2.1%)', 'si (1.8%)', 'avere (1.8%)', 'dire (1.8%)', 'se (1.8%)', 'filo (1.8%)', 'che (1.6%)', 'fare (1.6%)', 'tornare (1.3%)', 'casa (1.3%)', 'potere (1.3%)', 'partire (1.1%)']","['la fata (1.8%)', 'fata gattina (1.3%)', 'il filo (1.3%)', 'di il (1.1%)', 'lorenza non (0.8%)', 'il gomitolo (0.8%)', 'era una (0.5%)', 'aveva paura (0.5%)', 'paura di (0.5%)', 'di non (0.5%)']"
03_37,393,24,213,0.542,0.448,19.71,5.01,16.35,61.65,176 (44.8%),215 (54.7%),67 (17.0%),24 (6.1%),104 (26.5%),"['il (10.4%)', 'e (5.9%)', 'di (3.8%)', 'a (3.8%)', 'essere (2.5%)', 'isola (2.5%)', 'pirata (2.3%)', 'uno (2.3%)', 'tesoro (2.3%)', 'nave (1.5%)', 'che (1.3%)', 'fare (1.3%)', 'quello (1.3%)', 'trovare (1.3%)', 'in (1.3%)', 'mare (1.0%)', 'avere (1.0%)', 'ma (1.0%)', 'su (1.0%)', 'scavare (1.0%)']","['i pirati (2.0%)', 'il tesoro (1.5%)', 'un’ isola (1.0%)', 'tonno feroce (0.8%)', 'a il (0.8%)', 'il mare (0.8%)', 'isola di (0.8%)', 'l’ isola (0.8%)', 'era una (0.5%)', 'una nave (0.5%)']"
04_37,361,29,178,0.493,0.391,15.28,5.25,12.02,69.72,154 (42.7%),204 (56.5%),74 (20.5%),24 (6.6%),56 (15.5%),"['il (9.4%)', 'e (4.4%)', 'ombrellino (3.0%)', 'uno (3.0%)', 'essere (2.8%)', 'in (2.8%)', 'non (2.8%)', 'ma (2.2%)', 'aprire (2.2%)', 'a (2.2%)', 'si (1.7%)', 'piccione (1.7%)', 'lo (1.7%)', 'perché (1.4%)', 'di (1.4%)', 'ci (1.1%)', 'paese (1.1%)', 'piovere (1.1%)', 'che (1.1%)', 'triste (1.1%)']","['l’ ombrellino (2.2%)', 'il piccione (1.4%)', 'disse il (0.8%)', 'un paese (0.6%)', 'in quel (0.6%)', 'quel paese (0.6%)', 'ombrellino era (0.6%)', 'piccione viaggiatore (0.6%)', 'triste perché (0.6%)', 'is i (0.6%)']"
05_37,389,25,208,0.535,0.419,18.8,5.13,16.27,65.04,185 (47.6%),203 (52.2%),64 (16.5%),35 (9.0%),66 (17.0%),"['il (6.9%)', 'e (3.9%)', 'uno (3.9%)', 'si (3.9%)', 'essere (3.6%)', 'uovo (3.1%)', 'di (2.8%)', 'non (2.8%)', 'come (2.3%)', 'coo (2.3%)', 'che (2.1%)', 'covare (1.8%)', 'pulcino (1.8%)', 'cosa (1.5%)', 'a (1.5%)', 'nero (1.3%)', 'fare (1.3%)', 'ma (1.3%)', 'bianco (1.0%)', 'dire (1.0%)']","['l’ uovo (1.0%)', 'un pulcino (1.0%)', 'non si (0.8%)', 'non solo (0.8%)', 'un uovo (0.5%)', 'le altre (0.5%)', 'uovo si (0.5%)', 'uscì un (0.5%)', 'uovo nero (0.5%)', 'la chioccia (0.5%)']"
06_37,389,40,175,0.45,0.365,12.68,5.33,8.95,75.02,167 (42.9%),212 (54.5%),82 (21.1%),28 (7.2%),71 (18.3%),"['il (8.2%)', 'dire (5.1%)', 'e (4.1%)', 'uno (3.3%)', 'Cappello (3.1%)', 'di (2.3%)', 'avere (2.3%)', 'essere (1.8%)', 'mela (1.8%)', 'che (1.8%)', 'parte (1.8%)', 'non (1.8%)', 'a (1.8%)', 'cappello (1.5%)', 'stare (1.5%)', 'tre (1.3%)', 'Rosso (1.3%)', 'in (1.3%)', 'la (1.3%)', 'Azzurro (1.3%)']","['disse cappello (3.4%)', 'cappello rosso (1.5%)', 'cappello azzurro (1.5%)', 'cappello giallo (1.3%)', 'la mela (1.0%)', 'uno col (0.8%)', 'col cappello (0.8%)', 'il ramo (0.8%)', 'gli altri (0.8%)', 'e poi (0.8%)']"
07_37,379,34,177,0.467,0.404,13.76,5.4,11.86,74.07,185 (48.8%),190 (50.1%),61 (16.1%),19 (5.0%),78 (20.6%),"['il (11.6%)', 'di (4.5%)', 'essere (4.2%)', 'a (4.0%)', 'Befana (3.2%)', 'e (2.6%)', 'uno (2.6%)', 'che (1.8%)', 'volare (1.6%)', 'vedere (1.6%)', 'non (1.3%)', 'avere (1.3%)', 'altro (1.3%)', 'punta (1.3%)', 'scopa (1.1%)', 'quello (1.1%)', 'io (1.1%)', 'dire (1.1%)', 'anche (1.1%)', 'per (1.1%)']","['la befana (2.6%)', 'l’ altra (1.3%)', 'punta di (1.3%)', 'non vedi (0.8%)', 'vedi che (0.8%)', 'anche io (0.8%)', 'le due (0.5%)', 'due befane (0.5%)', 'a cavallo (0.5%)', 'cavallo di (0.5%)']"
08_37,332,26,165,0.497,0.398,15.58,5.29,10.09,69.96,146 (44.0%),185 (55.7%),59 (17.8%),20 (6.0%),70 (21.1%),"['il (12.7%)', 'principe (3.0%)', 'e (2.7%)', 'a (2.7%)', 'Tonno (2.4%)', 'nuotare (2.1%)', 'in (2.1%)', 'non (2.1%)', 'che (2.1%)', 'Abissina (1.8%)', 'di (1.8%)', 'uno (1.8%)', 'essere (1.8%)', 'verso (1.5%)', 'vedere (1.5%)', 'dire (1.5%)', 'notte (1.5%)', 'le (1.2%)', 'fondo (1.2%)', 'lei (1.2%)']","['il principe (2.4%)', 'principe tonno (2.4%)', 'il fondo (0.9%)', 'di il (0.9%)', 'gli occhi (0.9%)', 'verso l’ (0.9%)', 'l’ alto (0.9%)', 'in l’ (0.9%)', 'il sole (0.9%)', 'la notte (0.9%)']"
09_37,404,36,183,0.453,0.366,14.08,5.57,7.75,76.5,196 (48.5%),206 (51.0%),84 (20.8%),13 (3.2%),75 (18.6%),"['il (11.9%)', 'uno (3.7%)', 'bambino (3.7%)', 'e (3.7%)', 'a (3.5%)', 'essere (2.5%)', 'palla (2.5%)', 'dire (2.5%)', 'nome (2.2%)', 'che (2.2%)', 'avere (2.2%)', 'di (2.0%)', 'non (2.0%)', 'dare (1.7%)', 'mamma (1.7%)', 'andare (1.5%)', 'si (1.5%)', 'la (1.0%)', 'lo (1.0%)', 'suo (1.0%)']","['la bambina (3.0%)', 'la palla (2.2%)', 'la mamma (1.2%)', 'disse la (1.0%)', 'c’ era (0.7%)', 'andò a (0.7%)', 'ce l’ (0.7%)', 'una bambina (0.5%)', 'un nome (0.5%)', 'a il (0.5%)']"
10_37,367,28,189,0.515,0.431,15.96,5.23,12.81,69.05,172 (46.9%),195 (53.1%),58 (15.8%),32 (8.7%),70 (19.1%),"['il (7.9%)', 'e (6.3%)', 'uno (4.6%)', 'forchetta (3.0%)', 'in (3.0%)', 'si (2.7%)', 'di (2.2%)', 'essere (1.9%)', 'non (1.9%)', 'bello (1.4%)', 'ma (1.4%)', 'cassetto (1.4%)', 'a (1.4%)', 'cucchiaio (1.4%)', 'arrivare (1.1%)', 'dire (1.1%)', 'mi (1.1%)', 'se (1.1%)', 'vedere (1.1%)', 'perché (1.1%)']","['la forchetta (1.4%)', 'il cassetto (1.4%)', 'in il (1.1%)', 'un po (0.8%)', 'in la (0.8%)', 'le posate (0.5%)', 'posate sposate (0.5%)', 'e la (0.5%)', 'il cavatappi (0.5%)', 'guardami un (0.5%)']"
