text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_711,423,48,197,0.466,0.385,11.23,5.63,5.73,81.1,201 (47.5%),220 (52.0%),61 (14.4%),28 (6.6%),83 (19.6%),"['il (7.3%)', 'uno (5.2%)', 'essere (5.0%)', 'e (3.5%)', 'di (2.8%)', 'mamma (2.4%)', 'si (2.4%)', 'Giovanni (2.1%)', 'a (1.9%)', 'ma (1.9%)', 'distratto (1.7%)', 'che (1.7%)', 'tutto (1.4%)', 'non (1.4%)', 'cosa (1.2%)', 'suo (1.2%)', 'fare (0.9%)', 'sì (0.9%)', 'così (0.9%)', 'poi (0.9%)']","['di il (1.2%)', 'e cosa (0.7%)', 'i bambini (0.7%)', 'bambini sono (0.7%)', 'sono tutti (0.7%)', 'tutti così (0.7%)', 'giovanni ma (0.5%)', 'mamma ciao (0.5%)', 'ciao mamma (0.5%)', 'e per (0.5%)']"
02_711,434,33,220,0.507,0.419,15.73,5.41,10.93,66.56,205 (47.2%),224 (51.6%),67 (15.4%),23 (5.3%),95 (21.9%),"['il (10.8%)', 'uno (3.5%)', 'essere (3.0%)', 'a (3.0%)', 'e (2.5%)', 'di (2.5%)', 'non (2.3%)', 'che (2.3%)', 'guardia (2.3%)', 'per (2.1%)', 'punta (1.8%)', 'Giovannino (1.6%)', 'ma (1.6%)', 'con (1.6%)', 'fare (1.6%)', 'paese (1.4%)', 'senza (1.4%)', 'si (1.2%)', 'avere (1.2%)', 'dire (1.2%)']","['la guardia (2.1%)', 'senza punta (1.2%)', 'il paese (0.9%)', 'a la (0.9%)', 'paese senza (0.7%)', 'punta ma (0.7%)', 'che è (0.7%)', 'disse la (0.7%)', 'di i (0.7%)', 'due schiaffi (0.7%)']"
03_711,436,28,207,0.475,0.411,17.61,5.14,17.68,61.8,214 (49.1%),217 (49.8%),57 (13.1%),18 (4.1%),119 (27.3%),"['il (14.7%)', 'di (4.8%)', 'e (4.4%)', 'uno (4.1%)', 'per (2.5%)', 'campana (1.8%)', 'ci (1.8%)', 'da (1.8%)', 'cannone (1.8%)', 'essere (1.6%)', 'che (1.4%)', 'a (1.4%)', 'Stragenerale (1.4%)', 'guerra (1.1%)', 'nemico (1.1%)', 'tutto (1.1%)', 'si (1.1%)', 'Din (1.1%)', 'Don (1.1%)', 'Dan (1.1%)']","['le campane (1.6%)', 'lo stragenerale (1.4%)', 'i nemici (0.9%)', 'din don (0.9%)', 'don dan (0.9%)', 'la guerra (0.7%)', 'il fronte (0.7%)', 'per la (0.7%)', 'di il (0.7%)', 'di i (0.7%)']"
04_711,423,28,234,0.553,0.452,17.79,5.25,14.39,63.7,205 (48.5%),218 (51.5%),64 (15.1%),34 (8.0%),85 (20.1%),"['il (10.4%)', 'essere (3.8%)', 'uno (3.5%)', 'e (3.1%)', 'a (2.6%)', 'che (2.4%)', 'in (2.1%)', 'si (1.9%)', 'di (1.7%)', 'viola (1.4%)', 'suo (1.4%)', 'per (1.4%)', 'bianco (1.2%)', 'tutto (1.2%)', 'ne (1.2%)', 'come (1.2%)', 'dire (1.2%)', 'avere (1.2%)', 'orso (0.9%)', 'ma (0.9%)']","['il polo (0.9%)', 'l orso (0.9%)', 'orso bianco (0.9%)', 'il suo (0.9%)', 'a il (0.7%)', 'tutto il (0.7%)', 'polo nord (0.5%)', 'l aria (0.5%)', 'la viola (0.5%)', 'per tutto (0.5%)']"
05_711,469,24,210,0.448,0.388,21.46,5.33,11.32,60.19,236 (50.3%),232 (49.5%),65 (13.9%),19 (4.1%),112 (23.9%),"['il (11.3%)', 'di (6.2%)', 'e (5.3%)', 'uno (4.1%)', 'suo (3.0%)', 'in (2.3%)', 'essere (2.1%)', 'Giacomo (1.9%)', 'si (1.7%)', 'più (1.7%)', 'per (1.7%)', 'a (1.5%)', 'vedere (1.5%)', 'non (1.5%)', 'pensiero (1.3%)', 'cristallo (1.1%)', 'come (1.1%)', 'ma (1.1%)', 'gente (1.1%)', 'tutto (1.1%)']","['di cristallo (1.1%)', 'la gente (1.1%)', 'giacomo di (0.9%)', 'il suo (0.9%)', 'i suoi (0.9%)', 'suoi pensieri (0.9%)', 'la sua (0.9%)', 'a il (0.6%)', 'cristallo e (0.6%)', 'pensieri di (0.6%)']"
06_711,365,32,198,0.542,0.493,14.31,5.54,8.31,71.49,173 (47.4%),176 (48.2%),61 (16.7%),23 (6.3%),65 (17.8%),"['il (8.5%)', 'uno (6.3%)', 'essere (4.7%)', 'di (2.7%)', 'e (2.5%)', 'avere (1.9%)', 'ma (1.6%)', 'non (1.6%)', 'che (1.4%)', 'fare (1.4%)', 'per (1.4%)', 'a (1.4%)', 'guardare (1.4%)', 'quattro (1.4%)', 'più (1.1%)', 'se (1.1%)', 'Dieci (1.1%)', 'con (1.1%)', 'suo (1.1%)', 'ne (1.1%)']","['ma la (0.8%)', 'promosso più (0.5%)', 'più due (0.5%)', 'povero dieci (0.5%)', 'che ti (0.5%)', 'ma non (0.5%)', 'un disastro (0.5%)', 'la sottrazione (0.5%)', 'la sua (0.5%)', 'perde un (0.5%)']"
07_711,423,25,221,0.522,0.407,19.16,5.22,14.42,60.61,203 (48.0%),213 (50.4%),73 (17.3%),25 (5.9%),94 (22.2%),"['il (8.7%)', 'uno (5.2%)', 'di (5.0%)', 'e (4.7%)', 'cane (2.8%)', 'essere (2.6%)', 'a (2.6%)', 'abbaiare (2.4%)', 'fare (2.4%)', 'avere (2.1%)', 'che (1.9%)', 'da (1.4%)', 'si (1.4%)', 'paese (0.9%)', 'novantanove (0.9%)', 'casetta (0.9%)', 'abitante (0.9%)', 'quello (0.9%)', 'diventare (0.9%)', 'parlare (0.9%)']","['i cani (1.2%)', 'gli abitanti (0.9%)', 'di i (0.7%)', 'abitanti di (0.7%)', 'c era (0.5%)', 'una volta (0.5%)', 'strano piccolo (0.5%)', 'piccolo paese (0.5%)', 'con un (0.5%)', 'e ne (0.5%)']"
08_711,427,27,185,0.433,0.356,18.3,5.34,13.61,63.59,219 (51.3%),208 (48.7%),62 (14.5%),12 (2.8%),111 (26.0%),"['il (14.3%)', 'di (5.9%)', 'fare (3.5%)', 'e (3.5%)', 'Apollonia (3.0%)', 'marmellata (3.0%)', 'uno (2.8%)', 'a (2.3%)', 'essere (1.9%)', 'avere (1.9%)', 'si (1.6%)', 'imperatore (1.6%)', 'non (1.4%)', 'donnina (1.2%)', 'che (1.2%)', 'da (1.2%)', 'mano (1.2%)', 'in (0.9%)', 'quello (0.9%)', 'ricco (0.9%)']","['l apollonia (2.3%)', 'la marmellata (1.9%)', 'l imperatore (1.6%)', 'le mani (0.9%)', 'di il (0.7%)', 'me la (0.7%)', 'marmellata di (0.7%)', 'quella donnina (0.7%)', 'mani d (0.7%)', 'd oro (0.7%)']"
09_711,458,20,230,0.502,0.439,24.2,5.36,11.28,59.09,239 (52.2%),219 (47.8%),64 (14.0%),18 (3.9%),107 (23.4%),"['il (13.8%)', 'di (5.7%)', 'e (3.7%)', 'a (3.7%)', 'essere (3.1%)', 'uno (2.6%)', 'in (2.0%)', 'mario (2.0%)', 'si (1.7%)', 'che (1.7%)', 'casa (1.7%)', 'non (1.3%)', 'per (1.3%)', 'suo (1.3%)', 'da (0.9%)', 'morire (0.9%)', 'sentire (0.9%)', 'loro (0.9%)', 'proprio (0.7%)', 'come (0.7%)']","['la casa (1.5%)', 'di la (1.3%)', 'a la (0.9%)', 'in il (0.7%)', 'a il (0.7%)', 'i loro (0.7%)', 'la valtellina (0.4%)', 'un giorno (0.4%)', 'di un (0.4%)', 'il suo (0.4%)']"
10_710,477,18,212,0.444,0.361,29.0,5.24,10.9,58.48,220 (46.1%),250 (52.4%),88 (18.4%),14 (2.9%),121 (25.4%),"['il (10.9%)', 'e (5.0%)', 'di (4.8%)', 'oro (2.5%)', 'uno (2.3%)', 'a (2.3%)', 'fare (2.1%)', 'toccare (2.1%)', 'diventare (2.1%)', 're (1.9%)', 'Mida (1.9%)', 'si (1.9%)', 'per (1.9%)', 'tutto (1.5%)', 'sette (1.5%)', 'andare (1.3%)', 'ora (1.3%)', 'essere (1.0%)', 'gli (1.0%)', 'che (1.0%)']","['d oro (2.3%)', 'il re (1.9%)', 're mida (1.9%)', 'sette minuti (0.8%)', 'da il (0.6%)', 'la macchina (0.6%)', 'l incantesimo (0.6%)', 'sette ore (0.6%)', 'ore e (0.6%)', 'e sette (0.6%)']"
,,,,,,,,,,,,,,,,
MEAN ± STD,433.50 ± 31.31,28.30 ± 8.37,211.40 ± 15.38,0.49 ± 0.04,0.41 ± 0.04,18.88 ± 5.05,5.35 ± 0.15,11.86 ± 3.37,64.66 ± 6.96,48.76% ± 1.95%,50.19% ± 1.65%,15.28% ± 1.69%,4.99% ± 1.71%,22.76% ± 3.03%,,
