sentence_ids,tokens,tokens_no_punct,lemma,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
0,Orso,orso,orso,orso,NOUN,root,ROOT,,4.48 ± 1.53,"4,192007611"
0,buco,buco,buco,buco,NOUN,compound,Orso,,,"4,52628082"
0,.,,.,,PUNCT,punct,Orso,,,
1,Orso,orso,Orso,Orso,PROPN,nsubj,perso,,,"4,192007611"
1,si,si,si,si,PRON,expl,perso,,,"6,553884221"
1,è,è,essere,essere,AUX,aux,perso,,,"7,249521761"
1,perso,perso,perdere,perdere,VERB,root,ROOT,,,"5,292824891"
1,in,in,in,in,ADP,case,bosco,,,"6,797274494"
1,il,il,il,il,DET,det,bosco,,,"7,039560886"
1,bosco,bosco,bosco,bosco,NOUN,obl,perso,,4.52 ± 1.26,"4,24188269"
1,e,e,e,e,CCONJ,cc,trova,,,"2,741151583"
1,non,non,non,non,ADV,advmod,trova,,,"7,259198169"
1,trova,trova,trovare,trovare,VERB,conj,perso,,4.24 ± 1.61,"4,979657089"
1,più,più,più,più,ADV,advmod,trova,,,"6,382555861"
1,la,la,il,il,DET,det,tana,,,"7,055331658"
1,sua,sua,suo,suo,DET,det:poss,tana,,,"6,022524285"
1,tana,tana,tana,tana,NOUN,obj,trova,,4.32 ± 1.77,"3,747828499"
1,.,,.,,PUNCT,punct,perso,,,
2,Si,si,si,si,PRON,expl,mette,,,"6,553884221"
2,mette,mette,mettere,mettere,VERB,root,ROOT,,4.28 ± 1.59,"4,624212915"
2,in,in,in,in,ADP,case,cammino,,,"6,797274494"
2,cammino,cammino,cammino,cammino,NOUN,obl,mette,,,"4,175000264"
2,e,e,e,e,CCONJ,cc,improvviso,,,"2,741151583"
2,a,a,a,a,ADP,case,improvviso,,,"7,004335738"
2,l’,l’,il,il,DET,det,improvviso,,,
2,improvviso,improvviso,improvviso,improvviso,ADJ,obl,mette,,,"4,516644088"
2,",",,",",,PUNCT,punct,mette,,,
2,BADABUM!,badabum,BADABUM!,BADABUM,INTJ,discourse,mette,,,"2,003836587"
2,",",,",",,PUNCT,punct,casca,,,
2,casca,casca,cascare,cascare,VERB,conj,mette,,,"3,173194463"
2,in,in,in,in,ADP,case,buco,,,"6,797274494"
2,un,un,uno,uno,DET,det,buco,,,"7,065833912"
2,buco,buco,buco,buco,NOUN,obl,casca,,,"4,52628082"
2,!,,!,,PUNCT,punct,mette,,,
3,Ma,ma,ma,ma,CCONJ,cc,tana,,,"6,662005813"
3,è,è,essere,essere,AUX,cop,tana,,,"7,249521761"
3,la,la,il,il,DET,det,tana,,,"7,055331658"
3,tana,tana,tana,tana,NOUN,root,ROOT,,4.32 ± 1.77,"3,747828499"
3,di,di,di,di,ADP,case,Volpe,,,"7,232814475"
3,Volpe,volpe,Volpe,Volpe,PROPN,nmod,tana,,,"3,774122004"
3,.,,.,,PUNCT,punct,tana,,,
4,Orso,orso,Orso,Orso,PROPN,nsubj,iniziano,,,"4,192007611"
4,e,e,e,e,CCONJ,cc,Volpe,,,"2,741151583"
4,Volpe,volpe,Volpe,Volpe,PROPN,conj,Orso,,,"3,774122004"
4,iniziano,iniziano,iniziare,iniziare,VERB,root,ROOT,,,"3,867159447"
4,a,a,a,a,ADP,mark,camminare,,,"7,004335738"
4,camminare,camminare,camminare,camminare,VERB,xcomp,iniziano,,3.68 ± 1.46,"4,521134015"
4,a,a,a,a,ADP,case,ricerca,,,"7,004335738"
4,la,la,il,il,DET,det,ricerca,,,"7,055331658"
4,ricerca,ricerca,ricerca,ricerca,NOUN,obl,camminare,,,"4,769218535"
4,di,di,di,di,ADP,case,tana,,,"7,232814475"
4,la,la,il,il,DET,det,tana,,,"7,055331658"
4,tana,tana,tana,tana,NOUN,nmod,ricerca,,4.32 ± 1.77,"3,747828499"
4,di,di,di,di,ADP,case,Orso,,,"7,232814475"
4,Orso,orso,Orso,Orso,PROPN,nmod,tana,,,"4,192007611"
4,",",,",",,PUNCT,punct,attraversano,,,
4,attraversano,attraversano,attraversare,attraversare,VERB,conj,iniziano,,,"3,216229095"
4,i,i,il,il,DET,det,campi,,,"6,584780852"
4,campi,campi,campo,campo,NOUN,obj,attraversano,,4.52 ± 1.56,"4,200161601"
4,",",,",",,PUNCT,punct,BADABUM!,,,
4,e,e,e,e,CCONJ,cc,improvviso,,,"2,741151583"
4,a,a,a,a,ADP,case,improvviso,,,"7,004335738"
4,l’,l’,il,il,DET,det,improvviso,,,
4,improvviso,improvviso,improvviso,improvviso,ADJ,obl,cascano,,,"4,516644088"
4,",",,",",,PUNCT,punct,BADABUM!,,,
4,BADABUM!,badabum,badabu!!,badabu,NOUN,conj,campi,,,"2,003836587"
4,",",,",",,PUNCT,punct,BADABUM!,,,
4,SPATAPAM!,spatapam,SPATAPAM!,SPATAPAM,INTJ,conj,BADABUM!,,,
4,",",,",",,PUNCT,punct,cascano,,,
4,cascano,cascano,cascare,cascare,VERB,conj,iniziano,,,"2,734991274"
4,in,in,in,in,ADP,case,buco,,,"6,797274494"
4,un,un,uno,uno,DET,det,buco,,,"7,065833912"
4,buco,buco,buco,buco,NOUN,obl,cascano,,,"4,52628082"
4,.,,.,,PUNCT,punct,iniziano,,,
5,Ma,ma,ma,ma,CCONJ,cc,tana,,,"6,662005813"
5,è,è,essere,essere,AUX,cop,tana,,,"7,249521761"
5,la,la,il,il,DET,det,tana,,,"7,055331658"
5,tana,tana,tana,tana,NOUN,root,ROOT,,4.32 ± 1.77,"3,747828499"
5,di,di,di,di,ADP,case,Talpa,,,"7,232814475"
5,Talpa,talpa,Talpa,Talpa,PROPN,nmod,tana,,,"3,862096073"
5,!,,!,,PUNCT,punct,tana,,,
5,Orso,orso,Orso,Orso,PROPN,nsubj,iniziano,,,"4,192007611"
5,",",,",",,PUNCT,punct,Volpe,,,
5,Volpe,volpe,Volpe,Volpe,PROPN,conj,Orso,,,"3,774122004"
5,e,e,e,e,CCONJ,cc,Talpa,,,"2,741151583"
5,Talpa,talpa,Talpa,Talpa,PROPN,conj,Orso,,,"3,862096073"
5,",",,",",,PUNCT,punct,Orso,,,
5,iniziano,iniziano,iniziare,iniziare,VERB,parataxis,tana,,,"3,867159447"
5,a,a,a,a,ADP,mark,camminare,,,"7,004335738"
5,camminare,camminare,camminare,camminare,VERB,xcomp,iniziano,,3.68 ± 1.46,"4,521134015"
5,",",,",",,PUNCT,punct,iniziano,,,
5,a,a,a,a,ADP,case,ricerca,,,"7,004335738"
5,la,la,il,il,DET,det,ricerca,,,"7,055331658"
5,ricerca,ricerca,ricerca,ricerca,NOUN,obl,camminare,,,"4,769218535"
5,di,di,di,di,ADP,case,tana,,,"7,232814475"
5,la,la,il,il,DET,det,tana,,,"7,055331658"
5,tana,tana,tana,tana,NOUN,nmod,ricerca,,4.32 ± 1.77,"3,747828499"
5,di,di,di,di,ADP,case,Orso,,,"7,232814475"
5,Orso,orso,Orso,Orso,PROPN,nmod,tana,,,"4,192007611"
5,.,,.,,PUNCT,punct,tana,,,
6,Attraversano,attraversano,attraversare,attraversare,VERB,root,ROOT,,,"3,216229095"
6,il,il,il,il,DET,det,fiume,,,"7,039560886"
6,fiume,fiume,fiume,fiume,NOUN,obj,Attraversano,,4.80 ± 1.63,"4,560880837"
6,",",,",",,PUNCT,punct,BADABUM!,,,
6,e,e,e,e,CCONJ,cc,BADABUM!,,,"2,741151583"
6,a,a,a,a,ADP,case,improvviso,,,"7,004335738"
6,l’,l’,il,il,DET,det,improvviso,,,
6,improvviso,improvviso,improvviso,improvviso,ADJ,obl,Attraversano,,,"4,516644088"
6,",",,",",,PUNCT,punct,BADABUM!,,,
6,BADABUM!,badabum,badabu!!,badabu,NOUN,conj,fiume,,,"2,003836587"
6,",",,",",,PUNCT,punct,SPATAPAM,,,
6,SPATAPAM,spatapam,SPATAPAM,SPATAPAM,PROPN,conj,BADABUM!,,,
6,!,,!,,PUNCT,punct,BADABUM!,,,
6,",",,",",,PUNCT,punct,BEDEBENG!,,,
6,BEDEBENG!,bedebeng,BEDEBENG!,BEDEBENG,INTJ,discourse,cascano,,,
6,",",,",",,PUNCT,punct,BEDEBENG!,,,
6,cascano,cascano,cascare,cascare,VERB,conj,Attraversano,,,"2,734991274"
6,in,in,in,in,ADP,case,buco,,,"6,797274494"
6,un,un,uno,uno,DET,det,buco,,,"7,065833912"
6,buco,buco,buco,buco,NOUN,obl,cascano,,,"4,52628082"
6,",",,",",,PUNCT,punct,tana,,,
6,ma,ma,ma,ma,CCONJ,cc,tana,,,"6,662005813"
6,è,è,essere,essere,AUX,cop,tana,,,"7,249521761"
6,la,la,il,il,DET,det,tana,,,"7,055331658"
6,tana,tana,tana,tana,NOUN,conj,Attraversano,,4.32 ± 1.77,"3,747828499"
6,di,di,di,di,ADP,case,Rospo,,,"7,232814475"
6,Rospo,rospo,Rospo,Rospo,PROPN,nmod,tana,,,"3,834869143"
6,.,,.,,PUNCT,punct,Attraversano,,,
7,Orso,orso,Orso,Orso,PROPN,nsubj,iniziano,,,"4,192007611"
7,",",,",",,PUNCT,punct,Volpe,,,
7,Volpe,volpe,Volpe,Volpe,PROPN,conj,Orso,,,"3,774122004"
7,",",,",",,PUNCT,punct,Talpa,,,
7,Talpa,talpa,Talpa,Talpa,PROPN,conj,Orso,,,"3,862096073"
7,e,e,e,e,CCONJ,cc,Rospo,,,"2,741151583"
7,Rospo,rospo,Rospo,Rospo,PROPN,conj,Orso,,,"3,834869143"
7,",",,",",,PUNCT,punct,Orso,,,
7,iniziano,iniziano,iniziare,iniziare,VERB,root,ROOT,,,"3,867159447"
7,a,a,a,a,ADP,mark,camminare,,,"7,004335738"
7,camminare,camminare,camminare,camminare,VERB,xcomp,iniziano,,3.68 ± 1.46,"4,521134015"
7,",",,",",,PUNCT,punct,camminare,,,
7,a,a,a,a,ADP,case,ricerca,,,"7,004335738"
7,la,la,il,il,DET,det,ricerca,,,"7,055331658"
7,ricerca,ricerca,ricerca,ricerca,NOUN,obl,camminare,,,"4,769218535"
7,di,di,di,di,ADP,case,tana,,,"7,232814475"
7,la,la,il,il,DET,det,tana,,,"7,055331658"
7,tana,tana,tana,tana,NOUN,nmod,ricerca,,4.32 ± 1.77,"3,747828499"
7,di,di,di,di,ADP,case,Orso,,,"7,232814475"
7,Orso,orso,Orso,Orso,PROPN,nmod,tana,,,"4,192007611"
7,.,,.,,PUNCT,punct,iniziano,,,
8,E,e,e,e,CCONJ,cc,cascano,,,"2,741151583"
8,a,a,a,a,ADP,case,improvviso,,,"7,004335738"
8,l’,l’,il,il,DET,det,improvviso,,,
8,improvviso,improvviso,improvviso,improvviso,ADJ,obl,cascano,,,"4,516644088"
8,",",,",",,PUNCT,punct,BADABUM!,,,
8,BADABUM!,badabum,BADABUM!,BADABUM,INTJ,discourse,improvviso,,,"2,003836587"
8,",",,",",,PUNCT,punct,SPATAPAM,,,
8,SPATAPAM,spatapam,SPATAPAM,SPATAPAM,INTJ,conj,BADABUM!,,,
8,!,,!,,PUNCT,punct,SPATAPAM,,,
8,",",,",",,PUNCT,punct,BEDEBENG!,,,
8,BEDEBENG!,bedebeng,BEDEBENG!,BEDEBENG,INTJ,discourse,cascano,,,
8,",",,",",,PUNCT,punct,BIDIBONG!,,,
8,BIDIBONG!,bidibong,BIDIBONG!,BIDIBONG,INTJ,discourse,cascano,,,
8,",",,",",,PUNCT,punct,BIDIBONG!,,,
8,cascano,cascano,cascare,cascare,VERB,root,ROOT,,,"2,734991274"
8,in,in,in,in,ADP,case,buco,,,"6,797274494"
8,un,un,uno,uno,DET,det,buco,,,"7,065833912"
8,buco,buco,buco,buco,NOUN,obl,cascano,,,"4,52628082"
8,",",,",",,PUNCT,punct,tana,,,
8,ma,ma,ma,ma,CCONJ,cc,tana,,,"6,662005813"
8,è,è,essere,essere,AUX,cop,tana,,,"7,249521761"
8,la,la,il,il,DET,det,tana,,,"7,055331658"
8,tana,tana,tana,tana,NOUN,conj,cascano,,4.32 ± 1.77,"3,747828499"
8,di,di,di,di,ADP,case,Formica,,,"7,232814475"
8,Formica,formica,Formica,Formica,PROPN,nmod,tana,,,"3,390952497"
8,.,,.,,PUNCT,punct,cascano,,,
9,Orso,orso,Orso,Orso,PROPN,nsubj,iniziano,,,"4,192007611"
9,",",,",",,PUNCT,punct,Volpe,,,
9,Volpe,volpe,Volpe,Volpe,PROPN,conj,Orso,,,"3,774122004"
9,",",,",",,PUNCT,punct,Talpa,,,
9,Talpa,talpa,Talpa,Talpa,PROPN,conj,Orso,,,"3,862096073"
9,",",,",",,PUNCT,punct,Rospo,,,
9,Rospo,rospo,Rospo,Rospo,PROPN,conj,Orso,,,"3,834869143"
9,e,e,e,e,CCONJ,cc,Formica,,,"2,741151583"
9,Formica,formica,Formica,Formica,PROPN,conj,Orso,,,"3,390952497"
9,iniziano,iniziano,iniziare,iniziare,VERB,root,ROOT,,,"3,867159447"
9,a,a,a,a,ADP,mark,camminare,,,"7,004335738"
9,camminare,camminare,camminare,camminare,VERB,xcomp,iniziano,,3.68 ± 1.46,"4,521134015"
9,",",,",",,PUNCT,punct,camminare,,,
9,a,a,a,a,ADP,case,ricerca,,,"7,004335738"
9,la,la,il,il,DET,det,ricerca,,,"7,055331658"
9,ricerca,ricerca,ricerca,ricerca,NOUN,obl,camminare,,,"4,769218535"
9,di,di,di,di,ADP,case,tana,,,"7,232814475"
9,la,la,il,il,DET,det,tana,,,"7,055331658"
9,tana,tana,tana,tana,NOUN,nmod,ricerca,,4.32 ± 1.77,"3,747828499"
9,di,di,di,di,ADP,case,Orso,,,"7,232814475"
9,Orso,orso,Orso,Orso,PROPN,nmod,tana,,,"4,192007611"
9,.,,.,,PUNCT,punct,iniziano,,,
10,Attraversano,attraversano,attraversare,attraversare,VERB,root,ROOT,,,"3,216229095"
10,il,il,il,il,DET,det,deserto,,,"7,039560886"
10,deserto,deserto,deserto,deserto,NOUN,obj,Attraversano,,,"4,243809465"
10,",",,",",,PUNCT,punct,improvviso,,,
10,e,e,e,e,CCONJ,cc,improvviso,,,"2,741151583"
10,a,a,a,a,ADP,case,improvviso,,,"7,004335738"
10,l’,l’,il,il,DET,det,improvviso,,,
