word,surprisal_bits
fatto,10.256556178798853
Ã¨.ĉĊIl,49.58229125471593
fatto,3.2325862495826527
Ã¨,0.9460677912811163
che,3.816408531195293
la,15.79179784683085
paperetta,28.823127962060386
non,8.84030587823716
si,12.171378680767003
era,10.778183686449372
ancora,11.280664709544638
decisa,10.418376030856876
a,15.115190581112422
tuffarsi,19.370010772044285
nello,11.304621892809827
stagno.,15.9060901320892
CosÃ¬,13.453329449096438
"lâĢĻanatra,",35.25751204107691
sul,15.378704462556229
bordo,11.619391419724973
dello,9.76126506240556
specchio,6.164643135741599
"dâĢĻacqua,",8.851876183056605
le,19.97458858639582
"spiegÃ²,",27.174100175451787
con,14.971323310047364
"pazienza,",16.71629841175449
i,13.707574497554644
vantaggi,10.869038337281875
del,10.290647611748785
nuoto.,15.599612393971187
Ma,10.744395630895564
non,9.817038348149765
le,13.701138906759358
riuscÃ¬,15.2148703496913
affatto,12.231809256696572
di,12.633375675779766
convincerla,14.161441442704495
"e,",15.928329713871307
vedendo,9.606034381650042
che,11.076748836017575
con,12.526615037499564
le,11.712506954485718
buone,12.996291401838654
non,14.913791329715435
otteneva,14.67401433250998
"nulla,",8.22629088138266
decise,18.675026794618034
senzâĢĻaltro,15.541490176571376
di,11.486128641907777
spingerla,16.86604544718508
in,7.989563426797724
acqua.,15.00855626408928
Senza,17.09743372187181
alcun,11.924096521911629
successo!,24.90935833238515
ĊA,34.94331014290093
quel,4.685269924595655
"punto,",6.021532986050217
lâĢĻanatra,18.92705667676367
"indispettita,",33.630533032248195
chiamÃ²,15.769738599607088
in,7.445427689715535
aiuto,4.395839063835501
il,9.039781847649547
gatto.,14.874662696904384
Il,12.034931085225468
gatto,18.467314060107874
spinse,15.6297337794086
"lâĢĻanatra,",9.030269344807191
che,17.073154587084204
spingeva,26.1422369469786
la,4.8489056877195615
"paperetta,",10.626566858325834
che,15.428236497900624
nemmeno,16.418737210910702
si,13.132125363281911
mosse.,15.724543515262996
ĊChiamarono,86.59300914320497
allora,11.161806811602746
il,11.958067910971257
"cane,",14.161526832090647
che,17.189349505660136
spinse,15.062589859328684
il,10.496187001499992
"gatto,",13.914082149630207
che,18.00509004799597
spingeva,22.895338989121743
"lâĢĻanatra,",20.68108699577782
che,17.70713526485568
spingeva,23.10291929699074
la,6.983050097096413
paperetta,20.460549805213546
che,16.78127388720709
sembrava,24.316482540065792
incollata,27.988952599378564
a,12.599983524288241
terra.,13.129947203008733
"ĊInfine,",89.64266415438823
arrivÃ²,21.742189811641786
anche,11.436320359430436
il,13.388286986401331
tacchino,30.39956668725402
che,18.45565432430998
spinse,14.677311229178102
il,10.453035522502608
"cane,",13.823445916764303
che,17.233937383757524
spingeva,19.77913305541265
il,13.722567257126261
"gatto,",15.332232686501287
che,17.110036266561735
spingeva,22.259582418497462
"lâĢĻanatra,",23.745081705411714
che,16.88733146041056
spingeva,20.487660301131218
la,8.807780175340682
"paperetta,",18.758159080461493
che,7.622222587132136
non,6.686352163168627
si,16.014296273800987
spostava,22.285677023645405
di,17.177539800990687
un,23.130637396864998
millimetro.ĊE,72.73461385803691
proprio,16.33637609527371
quando,21.434644243993482
sembrÃ²,27.833701108722295
che,12.345899795556546
la,5.610934500347085
sua,15.214821334635804
resistenza,32.6824561396397
potesse,31.52485192357179
venir,23.856042332008634
"meno,",20.95150679757136
il,15.907845548257642
tacchino,43.237804657088546
incominciÃ²,36.748428897044185
ad,17.467012055825123
urlare:,36.550686483192976
âĢľal,35.80723162487598
lupo!,38.366544664409844
Al,22.195152901970026
lupo!âĢĿ.,30.068586075668545
ĊE,71.9933940002592
tutti,16.334653517042668
si,15.740317935982784
tuffarono,39.291920964991675
nello,18.851227148010604
stagno.,18.003711263084007
"No,",17.647028532257686
non,21.58992187601268
tutti.,29.632149142227014
Naturalmente,19.44098351900861
la,13.807441383257661
paperetta,26.838123940811037
rimase,19.981328242517833
al,10.683100670162757
suo,14.598000913784766
posto.,16.676836218592094
"ĊLâĢĻanatra,",94.24979817936871
il,18.721954324697762
"gatto,",20.177498533397987
il,14.444955616573763
"cane,",16.4084516164932
il,15.288398436379977
tacchino,42.4298955167424
urlarono:,40.50717763523844
"âĢľButtati,",48.981824492152796
câĢĻÃ¨,30.17329530488926
il,18.253047066773334
lupo!âĢĿ.,28.823358418812546
Ma,10.35168700626241
la,11.865153595912021
paperetta,24.549290402548408
non,20.568648307283723
vedeva,19.09529701491316
per,16.470876159276873
niente,20.283342848114394
il,23.91803795006106
lupo:,36.815246019154024
vedeva,22.3949547785058
un,18.873594867616518
animale,30.78293940566774
"grosso,",36.3214425526907
brutto,20.99282975702477
e,21.718467212712373
"peloso,",31.923865604168228
le,21.508611230407162
cui,38.30291933875784
"intenzioni,",36.35283557784859
per,13.35131312422294
"lei,",24.49839650108532
erano,28.64180355756801
fin,23.955481324876303
troppo,35.57191326714523
evidenti:,45.39095177352453
spingerla,29.895201078270603
in,12.016329441708145
acqua.,9.12613364871716
ĊIl,63.79898728348964
fatto,12.860216406710213
"Ã¨,",27.743957121849064
al,12.868483526745862
"momento,",13.184395018462737
non,9.504785959312645
si,11.900463009995363
trovava,21.463890237738003
nello,27.562901354257335
stato,26.415814909185592
dâĢĻanimo,61.90146640818094
ideale,32.66610884470989
per,18.76694636202468
"bagnarsi,",39.457009261338015
cosÃ¬,27.223627051316655
spiccÃ²,37.46130228677318
un,23.117354832773565
gran,23.597362538915284
salto,18.74390412646208
e,18.79982600521663
andÃ²,18.15278874855695
a,23.053470157284064
beccare,32.02819285992137
il,15.255306910562162
naso,23.55734630364313
del,27.168470839323746
lupo.,24.478218550581516
Ci,17.11997032844087
mise,15.663518051344091
tutto,14.386851621945066
lâĢĻimpegno,44.940907422261915
possibile,26.675941420338006
e,13.967759826773651
