word;surprisal_bits
fatto;8,17381E+14
è;2,08275E+16
.;2,98647E+14
Il;9,0815E+15
fatto;1,54596E+16
è;6,28643E+15
che;2,12795E+16
la;3,81269E+15
paperetta;2,57115E+16
non;4,05446E+15
si;4,67734E+15
era;7,15174E+15
ancora;3,5168E+16
decisa;7,57546E+15
a;2,74316E+16
tuffarsi;1,3107E+16
nello;6,33498E+14
stagno;5,16631E+15
.;2,3668E+15
Così;1,28757E+15
l’anatra;2,23557E+16
,;3,94663E+15
sul;9,2305E+13
bordo;5,98556E+15
dello;5,63646E+15
specchio;4,136E+15
d’acqua;2,38694E+16
,;4,11812E+15
le;6,34018E+15
spiegò;1,80101E+15
,;5,01557E+15
con;4,90438E+15
pazienza;9,70863E+14
,;7,78812E+15
i;5,85813E+15
vantaggi;7,70466E+14
del;3,1612E+15
nuoto;7,2211E+15
.;1,65237E+16
Ma;6,57774E+15
non;3,94292E+15
le;5,80544E+16
riuscì;8,06257E+15
affatto;7,29079E+15
di;4,74614E+15
convincerla;8,74688E+15
e;5,38246E+16
,;3,10362E+16
vedendo;7,44272E+15
che;2,15305E+16
con;8,88774E+15
le;3,60607E+16
buone;8,09869E+15
non;4,94741E+15
otteneva;1,01463E+15
nulla;4,49983E+16
,;3,71705E+16
decise;3,3067E+15
senz’altro;1,52641E+15
di;1,62394E+15
spingerla;1,25104E+16
in;4,44798E+16
acqua;3,55501E+15
.;1,08258E+16
Senza;1,02017E+16
alcun;6,84747E+15
successo;5,14326E+15
!;1,14351E+15
A;2,21494E+15
quel;3,13312E+16
punto;6,26043E+15
,;1,73167E+15
l’anatra;6,18871E+15
indispettita;1,88209E+15
,;3,36429E+16
chiamò;1,05362E+16
in;5,88367E+15
aiuto;2,03631E+16
il;2,12989E+16
gatto;6,85479E+15
.;2,72359E+16
Il;5,09808E+15
gatto;3,3763E+15
spinse;1,17556E+16
l’anatra;3,62225E+15
,;2,5093E+13
che;3,28521E+16
spingeva;1,77089E+16
la;3,28994E+15
paperetta;1,93554E+15
,;3,01911E+16
che;4,54312E+15
nemmeno;1,18872E+16
si;5,54291E+15
mosse;8,26058E+15
.;3,4585E+14
Chiamarono;3,91991E+14
allora;6,64932E+15
il;4,30727E+15
cane;6,33671E+15
,;2,2287E+16
che;5,1257E+15
spinse;1,27687E+15
il;3,03982E+15
gatto;6,76845E+15
,;1,94736E+16
che;4,88361E+15
spingeva;1,98866E+16
l’anatra;6,55112E+15
,;1,08826E+15
che;4,78576E+15
spingeva;1,54018E+16
la;3,57602E+16
paperetta;1,091E+16
che;8,23785E+15
sembrava;8,42424E+15
incollata;2,38017E+16
a;5,00106E+15
terra;7,94888E+16
.;2,84332E+16
Infine;1,84422E+16
,;1,19873E+16
arrivò;1,60102E+16
anche;7,59491E+15
il;4,35357E+15
tacchino;2,46522E+16
che;7,07109E+15
spinse;1,24815E+15
il;2,33298E+15
cane;7,2649E+15
,;1,91718E+16
che;4,57635E+15
spingeva;1,77294E+15
il;2,96004E+16
gatto;9,82638E+14
,;1,61327E+16
che;4,42046E+15
spingeva;1,53996E+16
l’anatra;1,5175E+16
,;7,49257E+15
che;4,34621E+15
spingeva;1,55559E+16
la;4,16564E+14
paperetta;1,12342E+16
,;1,46245E+16
che;4,46711E+15
non;3,54023E+16
si;3,19123E+16
spostava;1,30248E+15
di;8,542E+15
un;8,26162E+15
millimetro;2,08238E+16
.;1,50897E+16
E;4,80779E+15
proprio;1,11367E+16
quando;6,64249E+15
sembrò;2,0512E+15
che;8,38836E+15
la;4,16003E+15
sua;1,74049E+15
resistenza;1,24676E+16
potesse;1,73752E+16
venir;1,13923E+16
meno;1,12983E+16
,;2,40323E+16
il;6,18574E+15
tacchino;2,51829E+16
incominciò;2,13731E+15
ad;9,80171E+14
urlare;1,6705E+16
:;9,52912E+15
“al;1,24156E+16
lupo;2,21956E+16
!;6,33424E+15
Al;8,27537E+14
lupo;1,0289E+16
!”.;1,21293E+16
E;2,0068E+16
tutti;1,12765E+16
si;4,16203E+15
tuffarono;2,43287E+16
nello;1,27085E+16
stagno;7,86418E+15
.;2,31131E+16
No;9,59776E+15
,;1,19378E+15
non;6,54053E+15
tutti;1,52978E+16
.;4,57525E+15
Naturalmente;1,05137E+16
la;6,34158E+15
paperetta;1,37317E+16
rimase;1,05474E+16
al;6,82704E+15
suo;3,21482E+16
posto;1,07036E+16
.;2,74188E+15
L’anatra;4,45775E+15
,;1,18325E+16
il;5,94954E+15
gatto;1,01301E+16
,;1,76626E+15
il;5,91366E+15
cane;8,37646E+15
,;1,60856E+16
il;5,89965E+15
tacchino;2,5651E+15
urlarono;2,27416E+16
:;7,55094E+15
“Buttati;4,00569E+15
,;1,64876E+16
c’è;2,27844E+15
il;5,37637E+16
lupo;1,20914E+16
!”.;1,02615E+16
Ma;4,66205E+15
la;4,69374E+15
paperetta;1,53769E+16
non;6,62902E+15
vedeva;1,14057E+16
per;7,42659E+15
niente;1,02549E+16
il;9,65655E+15
lupo;1,27104E+16
:;7,53964E+15
vedeva;1,3978E+16
un;8,27659E+15
animale;1,12885E+16
grosso;1,75877E+16
,;1,74361E+15
brutto;1,50338E+16
